"","res","",""
"807","103","5","11111"
"808","103","3","111"
"809","104","4","000"
"810","104","6","000000"
"811","104","8","11110011"
"812","104","8","11011111"
"813","104","6","111011"
"814","104","7","1011111"
"815","104","9","111111111"
"816","104","5","11111"
"817","104","5","11111"
"818","104","5","11101"
"819","105","8","11111111"
"820","106","4","000000000"
"821","106","3","000000000"
"822","106","4","000000000"
"823","106","6","000000000"
"824","106","6","111011"
"825","106","6","111111"
"826","106","3","111"
"827","106","5","11111"
"828","106","4","1111"
"829","106","4","1111"
"830","106","5","11111"
"831","106","4","1111"
"832","106","5","11111"
"833","107","3","1"
"834","107","3","1"
"835","107","7","1111111"
"836","107","5","11111"
"837","107","4","1111"
"838","107","3","111"
"839","108","6","011111"
"840","108","6","111111"
"841","108","9","001111111"
"842","108","12","111111111111"
"843","108","14","11111111111111"
"844","108","5","00000"
"845","108","9","111111011"
"846","108","6","111111"
"847","108","10","1111111111"
"848","108","6","111111"
"849","108","8","11111111"
"850","109","10","0000000000"
"851","109","7","0000000"
"852","109","3","000"
"853","110","7","0000000"
"854","110","10","0000000000"
"855","110","13","0000000000000"
"856","110","13","0000000000000"
"857","110","12","000000000000"
"858","110","5","10110"
"859","110","9","000010001"
"860","715","4","1011"
"861","715","5","11111"
"862","715","6","111111"
"863","715","5","01111"
"864","715","7","1111011"
"865","716","6","1"
"866","716","6","111111"
"867","716","6","111111"
"868","716","5","11111"
"869","717","5","11111"
"870","717","6","111111"
"871","717","8","10111111"
"872","717","8","11111111"
"873","717","8","11111111"
"874","717","7","0111011"
"875","717","7","1111111"
"876","717","10","1111111101"
"877","717","8","11011011"
"878","718","3","111"
"879","718","3","111"
"880","718","4","1111"
"881","718","4","1111"
"882","718","7","1111111"
"883","718","5","11111"
"884","718","5","11111"
"885","718","3","011"
"886","718","3","011"
"887","719","3","011"
"888","719","7","1110111"
"889","719","6","111111"
"890","719","11","11111111111"
"891","719","13","1111111111111"
"892","719","6","000000"
"893","719","9","111111111"
"894","719","10","1111111111"
"895","719","12","111110111111"
"896","719","12","111110111111"
"897","719","13","1110111111110"
"898","719","12","000000000000"
"899","720","4","0000"
"900","720","8","11111111"
"901","720","5","01011"
"902","720","6","111010"
"903","721","9","111111111"
"904","721","9","111111111"
"905","721","11","11111110111"
"906","721","11","11111111111"
"907","721","10","1111101111"
"908","721","3","111"
"909","721","3","111"
"910","722","4","0000"
"911","722","3","0000"
"912","722","3","0000"
"913","722","5","10001"
"914","722","4","0101"
"915","722","6","101011"
"916","722","4","0110"
"917","722","4","0110"
"918","722","5","11111"
"919","722","5","11111"
"920","722","3","111"
"921","722","3","111"
"922","722","5","11111"
"923","722","5","01011"
"924","722","4","1011"
"925","722","3","000"
"926","722","3","111"
"927","723","4","0000"
"928","723","4","1110"
"929","723","3","110"
"930","723","4","1111"
"931","723","4","1000"
"932","723","4","1111"
"933","724","7","1111101"
"934","724","4","1101"
"935","725","4","1"
"936","725","7","1111111"
"937","725","3","111"
"938","725","3","111"
"939","725","3","111"
"940","725","4","1111"
"941","725","4","0000"
"942","725","4","1111"
"943","725","6","101111"
"944","725","6","111100"
"945","725","7","0000000"
"946","726","4","0"
"947","726","5","0"
"948","726","5","11111"
"949","726","11","11111111111"
"950","726","7","0000000"
"951","726","4","1011"
"952","726","5","10111"
"953","726","6","001111"
"954","726","4","1011"
"955","726","4","1011"
"956","727","5","11111"
"957","727","6","111111"
"958","727","3","011"
"959","727","3","011"
"960","727","4","1110"
"961","728","8","00000000"
"962","728","3","000"
"963","728","3","111"
"964","729","7","0111111"
"965","729","7","1111111"
"966","729","6","111111"
"967","729","3","111"
"968","730","3","000"
"969","730","4","1111"
"970","730","4","0000"
"971","730","9","111110111"
"972","730","5","00000"
"973","730","5","10110"
"974","731","4","1011"
"975","732","5","00000"
"976","732","3","110"
"977","732","4","1111"
